model_id,station,AccessMode,Brd_PA,Dist_15,Dist_Med,Dist_85,Dist_Avg,Notes
v910-official__RTP_2050,02-ROY STATION,All,796.2399999999999,0.37,0.45,0.78,0.528842434441877,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,03-CLEARFIELD STATION,All,1249.38,0.29,0.48,0.64,0.5105891722294258,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,04-LAYTON STATION,All,633.61,0.17,0.17,0.69,0.3133301242088982,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,05-FARMINGTON STATION,All,1083.6599999999999,0.17,0.82,0.82,0.5892478268091469,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,06-WOODS CROSS STATION,All,1074.9399999999998,0.22,0.23,0.92,0.5074309263772862,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,07-NORTH TEMPLE STATION,All,2996.0,0.17,0.19,0.28,0.23810400534045395,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,08-SALT LAKE CENTRAL STATION,All,1075.38,0.12,0.22,0.22,0.20044728375086016,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,09-MURRAY CENTRAL STATION,All,1970.1599999999999,0.13,0.33,0.45,0.31672224590896175,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,10-SOUTH JORDAN STATION,All,831.0699999999999,0.35,0.35,0.74,0.5025017146570083,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,11-DRAPER STATION,All,754.3399999999999,0.4,0.41,0.65,0.4561798393297452,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,12-LEHI STATION,All,864.41,0.18,0.47,0.66,0.43015802686225296,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,13-AMERICAN FORK STATION,All,587.0099999999999,0.42,0.49,0.49,0.45339346859508367,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,14-OREM CENTRAL STATION,All,1152.6799999999998,0.08,0.08,0.58,0.23171704202380541,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,15-PROVO CENTRAL STATION,All,2916.92,0.16,0.24,0.56,0.30093502735762384,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,01-OGDEN STATION,All,2959.51,2.07,4.21,7.58,5.722395160009596,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,02-ROY STATION,All,4278.45,2.35,4.76,11.39,6.368926129789995,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,03-CLEARFIELD STATION,All,2407.12,1.4,3.24,4.58,3.2042875718701183,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,04-LAYTON STATION,All,3267.0,1.41,2.52,4.18,2.791434802571166,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,05-FARMINGTON STATION,All,2418.6600000000003,1.43,2.3,4.76,2.847502914837141,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,06-WOODS CROSS STATION,All,3866.1,1.51,2.62,3.92,2.6995221023770726,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,07-NORTH TEMPLE STATION,All,122.41,1.23,2.43,4.89,3.1719655256923454,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,08-SALT LAKE CENTRAL STATION,All,308.46,1.36,2.86,8.32,4.526129806133697,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,09-MURRAY CENTRAL STATION,All,2321.53,2.04,4.31,7.42,4.7578127786416715,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,10-SOUTH JORDAN STATION,All,4317.52,1.81,3.27,5.87,3.8295096722192365,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,11-DRAPER STATION,All,2611.25,2.77,4.57,8.82,5.384964901866923,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,12-LEHI STATION,All,8285.28,2.59,6.81,13.39,7.39643362686596,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,13-AMERICAN FORK STATION,All,4365.38,1.77,4.2,8.38,5.116091084854011,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,14-OREM CENTRAL STATION,All,1381.59,1.69,3.11,4.74,3.2194589567092993,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,15-PROVO CENTRAL STATION,All,970.6099999999999,1.04,1.71,2.65,1.8762561688010633,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,01-OGDEN STATION,walk,73.64,0.28,0.44,0.83,0.46596958174904934,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,02-ROY STATION,walk,358.46999999999997,0.37,0.45,0.68,0.5235074064775296,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,03-CLEARFIELD STATION,walk,522.2099999999999,0.29,0.63,0.64,0.5293822408609563,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,04-LAYTON STATION,walk,140.65,0.17,0.17,0.66,0.31312762175613224,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,05-FARMINGTON STATION,walk,136.67000000000002,0.17,0.17,0.82,0.30458842467256897,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,06-WOODS CROSS STATION,walk,343.42,0.22,0.22,0.57,0.3382860637120727,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,07-NORTH TEMPLE STATION,walk,663.28,0.17,0.22,0.56,0.3044506090941985,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,08-SALT LAKE CENTRAL STATION,walk,75.63999999999999,0.12,0.12,0.22,0.17980037017451084,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,09-MURRAY CENTRAL STATION,walk,541.12,0.33,0.45,0.75,0.522471725310467,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,10-SOUTH JORDAN STATION,walk,252.13,0.35,0.67,0.67,0.5294483004799112,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,11-DRAPER STATION,walk,144.97,0.4,0.41,0.47,0.43692764020142094,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,12-LEHI STATION,walk,188.8,0.21,0.58,0.66,0.4738299788135593,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,13-AMERICAN FORK STATION,walk,71.46999999999998,0.42,0.42,0.77,0.5584371064782427,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,14-OREM CENTRAL STATION,walk,447.01,0.08,0.08,0.58,0.2528775642603074,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,15-PROVO CENTRAL STATION,walk,399.56999999999994,0.24,0.56,0.56,0.4249007683259505,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,01-OGDEN STATION,drive,876.4200000000001,2.2,4.36,7.73,5.963678259282078,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,02-ROY STATION,drive,902.93,2.12,3.48,6.19,4.033293278548725,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,03-CLEARFIELD STATION,drive,908.98,1.24,2.7,4.43,2.9275783845629166,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,04-LAYTON STATION,drive,1206.83,1.41,2.53,3.76,2.743281820968985,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,05-FARMINGTON STATION,drive,528.74,1.61,2.49,4.07,2.6697163066913796,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,06-WOODS CROSS STATION,drive,1326.75,1.61,2.7,3.73,2.7818579988694174,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,07-NORTH TEMPLE STATION,drive,79.27000000000001,1.55,2.8,5.93,3.542608805348807,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,08-SALT LAKE CENTRAL STATION,drive,151.0,1.58,3.26,9.32,4.922486754966887,Boardings represent only direct boardings to CRT.
E2.14.4__BY_2019,09-MURRAY CENTRAL STATION,drive,899.0699999999999,2.42,4.6,7.53,5.043819502374676,Boardings represent only direct boardings to CRT.
